Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
23676,1/10/10 8:45 AM,Sunday,Auto,Bicycle,,HARVARD ST,QUINCY ST," HARVARD ST & QUINCY ST Cambridge, MA",42.372305,-71.115147,"(42.372305, -71.115147)"
23693,1/16/10 7:48 PM,Saturday,Auto,Bicycle,,Hampshire St,ELM ST," Hampshire St & ELM ST Cambridge, MA",42.37048,-71.096879,"(42.37048, -71.096879)"
23717,1/22/10 1:15 PM,Friday,Auto,Bicycle,,Vassar St,Massachusetts Ave," Vassar St & Massachusetts Ave Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)"
23764,2/4/10 8:06 PM,Thursday,Auto,Bicycle,,Broadway,Ware St," Broadway & Ware St Cambridge, MA",42.373833,-71.112444,"(42.373833, -71.112444)"
23793,2/12/10 3:10 PM,Friday,Auto,Bicycle,,Appleton St,HIGHLAND AVE," Appleton St & HIGHLAND AVE Cambridge, MA",42.379135,-71.133842,"(42.379135, -71.133842)"
23797,2/13/10 9:55 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,DOUGLASS ST," Massachusetts Ave & DOUGLASS ST Cambridge, MA",42.363897,-71.10119,"(42.363897, -71.10119)"
23820,2/19/10 9:30 PM,Friday,Auto,Bicycle,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)"
23849,2/26/10 8:45 AM,Friday,Auto,Bicycle,,Binney St,Third St," Binney St & Third St Cambridge, MA",42.365678,-71.082406,"(42.365678, -71.082406)"
23869,3/3/10 6:45 PM,Wednesday,Auto,Bicycle,187,Hampshire St,,"187 Hampshire St Cambridge, MA",42.372747,-71.09943,"(42.372747, -71.09943)"
23871,3/3/10 8:29 PM,Wednesday,MBTA Bus,Bicycle,,Brattle St,JFK St," Brattle St & JFK St Cambridge, MA",42.373467,-71.119389,"(42.373467, -71.119389)"
23874,3/4/10 4:22 PM,Wednesday,Auto,Bicycle,1310,Cambridge St,,"1310 Cambridge St Cambridge, MA",42.37345,-71.099503,"(42.37345, -71.099503)"
23893,3/8/10 12:00 PM,Monday,Auto,Bicycle,,GARDEN ST,MASON ST," GARDEN ST & MASON ST Cambridge, MA",42.376564,-71.122185,"(42.376564, -71.122185)"
23917,3/16/10 1:50 PM,Tuesday,Auto,Bicycle,1,Hampshire St,Broadway,"1 Hampshire St Cambridge, MA",42.365232,-71.090065,"(42.365232, -71.090065)"
23942,3/18/10 4:50 PM,Thursday,Auto,Bicycle,,Cedar St,Massachusetts Ave," Cedar St & Massachusetts Ave Cambridge, MA",42.397973,-71.130897,"(42.397973, -71.130897)"
23945,3/20/10 3:53 PM,Saturday,Auto,Bicycle,1820,Massachusetts Ave,ROSELAND ST,"1820 Massachusetts Ave Cambridge, MA",42.368925,-71.110257,"(42.368925, -71.110257)"
23959,3/25/10 8:45 AM,Thursday,Truck,Bicycle,,ELIOT ST,JFK St," ELIOT ST & JFK St Cambridge, MA",42.371416,-71.121105,"(42.371416, -71.121105)"
23962,3/25/10 3:30 PM,Thursday,Bicycle,Auto,,GARDEN ST,Appian Way," GARDEN ST & Appian Way Cambridge, MA",42.375974,-71.120983,"(42.375974, -71.120983)"
23965,3/25/10 5:35 PM,Thursday,Pedestrian,Bicycle,28,Dewolfe St,,"28 Dewolfe St Cambridge, MA",42.369371,-71.116741,"(42.369371, -71.116741)"
23966,3/25/10 6:20 PM,Thursday,Auto,Bicycle,58,Willow St,,"58 Willow St Cambridge, MA",42.371301,-71.092813,"(42.371301, -71.092813)"
23968,3/26/10 9:17 AM,Friday,Auto,Bicycle,,Vassar St,MAIN ST," Vassar St & MAIN ST Cambridge, MA",42.362709,-71.089933,"(42.362709, -71.089933)"
23980,3/29/10 2:10 PM,Monday,Auto,Bicycle,,River St,Blackstone St," River St & Blackstone St Cambridge, MA",42.362009,-71.114307,"(42.362009, -71.114307)"
23992,4/1/10 6:30 PM,Thursday,Auto,Bicycle,1293,Cambridge St,,"1293 Cambridge St Cambridge, MA",42.373589,-71.098999,"(42.373589, -71.098999)"
23997,4/2/10 12:59 PM,Friday,Auto,Bicycle,,Brattle St,PALMER ST," Brattle St & PALMER ST Cambridge, MA",42.373371,-71.119913,"(42.373371, -71.119913)"
24002,4/3/10 4:15 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)"
24010,4/5/10 10:50 PM,Monday,Bicycle,Miscellaneous,,KIRKLAND ST,," KIRKLAND ST &  Cambridge, MA",,,
24012,4/6/10 6:40 PM,Tuesday,Bicycle,Auto,,Vassar St,Massachusetts Ave," Vassar St & Massachusetts Ave Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)"
24015,4/7/10 5:17 PM,Wednesday,Auto,Bicycle,,Cambridge St,PROSPECT ST," Cambridge St & PROSPECT ST Cambridge, MA",42.37338,-71.09814,"(42.37338, -71.09814)"
24019,4/8/10 1:34 PM,Thursday,Auto,Bicycle,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)"
24022,4/8/10 5:25 PM,Thursday,Auto,Bicycle,576,Massachusetts Ave,,"576 Massachusetts Ave Cambridge, MA",42.364779,-71.102991,"(42.364779, -71.102991)"
24041,4/9/10 6:45 PM,Friday,Auto,Bicycle,280,HARVARD ST,,"280 HARVARD ST Cambridge, MA",42.369027,-71.104207,"(42.369027, -71.104207)"
24047,4/13/10 11:39 AM,Tuesday,Auto,Bicycle,306,Broadway,,"306 Broadway Cambridge, MA",42.36831,-71.098723,"(42.36831, -71.098723)"
24052,4/14/10 12:00 PM,Wednesday,Auto,Bicycle,50,Hampshire St,,"50 Hampshire St Cambridge, MA",42.366878,-71.092829,"(42.366878, -71.092829)"
24058,4/15/10 6:10 PM,Thursday,Auto,Bicycle,,GARDEN ST,HURON AVE," GARDEN ST & HURON AVE Cambridge, MA",42.383868,-71.129312,"(42.383868, -71.129312)"
24082,4/20/10 5:00 PM,Tuesday,Auto,Bicycle,336,Rindge Ave,,"336 Rindge Ave Cambridge, MA",42.393734,-71.13742,"(42.393734, -71.13742)"
24085,4/21/10 4:30 PM,Wednesday,Auto,Bicycle,432,Massachusetts Ave,,"432 Massachusetts Ave Cambridge, MA",42.363468,-71.100584,"(42.363468, -71.100584)"
24086,4/21/10 4:50 PM,Wednesday,Auto,Bicycle,,Hampshire St,Columbia St," Hampshire St & Columbia St Cambridge, MA",42.369917,-71.096192,"(42.369917, -71.096192)"
24087,4/21/10 6:14 PM,Wednesday,Auto,Bicycle,110,MAGAZINE ST,,"110 MAGAZINE ST Cambridge, MA",42.360046,-71.109848,"(42.360046, -71.109848)"
24096,4/23/10 3:40 PM,Friday,Auto,Bicycle,,Massachusetts Ave,," Massachusetts Ave &  Cambridge, MA",,,
24097,4/23/10 7:38 PM,Friday,Auto,Bicycle,,Albany St,PACIFIC ST," Albany St & PACIFIC ST Cambridge, MA",42.358977,-71.100134,"(42.358977, -71.100134)"
24101,4/22/10 2:29 PM,Thursday,Auto,Bicycle,,MOUNT AUBURN ST,Brattle St," MOUNT AUBURN ST & Brattle St Cambridge, MA",42.375282,-71.145695,"(42.375282, -71.145695)"
24117,4/27/10 6:00 PM,Tuesday,Auto,Bicycle,,OXFORD AVE,Wendell St," OXFORD AVE & Wendell St Cambridge, MA",42.381554,-71.116331,"(42.381554, -71.116331)"
24124,4/28/10 6:40 PM,Wednesday,Auto,Bicycle,,Hampshire St,Amory St," Hampshire St & Amory St Cambridge, MA",42.372845,-71.099759,"(42.372845, -71.099759)"
24134,4/30/10 5:03 PM,Friday,Bicycle,,100,MAIN ST,,"100 MAIN ST Cambridge, MA",42.361509,-71.082553,"(42.361509, -71.082553)"
24150,5/5/10 11:33 PM,Wednesday,Auto,Bicycle,,Western Ave,Putnam Ave," Western Ave & Putnam Ave Cambridge, MA",42.364484,-71.113893,"(42.364484, -71.113893)"
